vehicle_id,engine_temp_C,oil_pressure_psi,brake_pad_mm,battery_voltage_V,mileage_k,tire_pressure_psi,severity
VH-04113,99.4,36.1,3.6,12.39,108.0,34.3,Warning
VH-02419,76.4,,11.0,12.68,45.0,34.4,Normal
VH-04825,89.8,46.3,9.6,12.31,192.0,34.5,Normal
VH-04029,96.6,35.8,9.8,12.9,32.0,40.0,Warning
VH-02464,89.4,60.8,11.6,12.48,134.0,34.7,Normal
VH-00459,94.8,,2.5,13.14,45.0,33.1,Warning
VH-07193,87.2,52.5,4.0,,81.0,30.6,Critical
VH-02848,101.3,41.6,10.4,12.96,83.0,31.3,Normal
VH-01113,93.1,37.6,8.5,12.91,127.0,32.5,Normal
VH-01127,94.2,39.7,6.6,12.22,185.0,35.7,Normal
VH-04935,89.7,38.7,7.1,12.89,73.0,26.3,Warning
VH-04036,112.6,,2.4,13.22,78.0,33.4,Critical
VH-01682,90.7,40.2,10.1,12.92,130.0,37.2,Normal
VH-06337,84.1,48.9,3.1,12.35,95.0,34.0,Warning
VH-06632,91.4,42.7,4.9,12.2,160.0,33.1,WARNING
VH-07093,90.6,30.4,4.1,11.99,67.0,35.8,Warning
VH-05270,102.0,42.2,8.0,12.89,80.0,33.9,Normal
VH-02193,95.3,43.6,2.6,12.71,116.0,34.8,Warning
VH-07446,96.7,31.1,2.0,12.98,177.0,32.1,Critical
VH-04213,93.9,40.9,6.5,11.99,40.0,35.0,WARNING
VH-02203,99.8,20.7,3.8,12.65,32.0,35.7,Warning
VH-03915,93.0,40.8,11.1,13.28,18.0,34.7,Normal
VH-04528,89.4,43.7,2.1,12.88,46.0,33.6,Critical
VH-01276,90.2,38.6,8.6,12.16,94.0,34.5,Normal
VH-02142,116.6,41.6,2.7,11.59,175.0,35.6,Warning
VH-02386,82.1,26.9,5.2,12.92,157.0,31.0,Normal
VH-07733,87.2,32.7,4.1,12.12,19.0,32.4, normal 
VH-01634,97.3,44.2,3.8,12.29,179.0,33.7,Warning
VH-05902,93.7,45.8,6.9,12.88,40.0,36.8,Normal
VH-00345,78.5,47.6,10.5,12.86,112.0,26.3,Warning
VH-03723,102.3,32.1,5.7,12.5,189.0,32.7,Normal
VH-00094,81.5,29.6,11.8,12.22,34.0,31.4,Normal
VH-00754,109.3,46.9,5.7,12.71,200.0,35.3,Warning
VH-06719,94.6,44.5,9.0,13.38,86.0,,Normal
VH-01714,86.9,45.2,6.5,12.83,160.0,33.0,Normal
VH-05403,95.0,,10.3,12.52,191.0,36.3,Normal
VH-03707,99.8,34.7,2.8,13.17,65.0,33.3,Warning
VH-05512,82.7,35.9,6.6,12.1,132.0,26.1,Warning
VH-03692,79.5,49.0,7.6,12.49,148.0,38.1,Normal
VH-06655,106.0,39.0,10.1,11.83,77.0,32.1,Warning
VH-03214,103.1,31.6,11.3,12.73,36.0,35.3, normal 
VH-04146,95.8,39.5,2.3,12.66,108.0,33.3,Critical
VH-02019,98.8,38.4,11.8,13.07,56.0,29.0,Normal
VH-06419,94.2,32.3,8.4,13.69,72.0,27.2,Warning
VH-04812,94.9,35.4,7.4,12.23,181.0,35.2,Normal
VH-02381,101.3,35.5,7.9,12.82,83.0,36.4,Normal
VH-06862,107.4,40.2,9.2,12.25,50.0,32.8,Normal
VH-06234,93.7,33.4,6.8,13.03,49.0,28.7,Normal
VH-04841,87.0,43.9,6.7,12.08,133.0,33.2,Normal
VH-00445,83.2,46.1,5.5,12.49,96.0,28.1,Normal
VH-00700,103.9,28.9,3.0,12.46,192.0,32.7,Warning
VH-06749,92.0,25.6,6.5,13.95,192.0,38.5,Normal
VH-02733,91.3,58.6,3.4,,129.0,33.0,Warning
VH-01925,85.5,46.1,5.5,12.81,40.0,31.2,Normal
VH-02893,89.7,57.7,8.9,12.96,187.0,35.9,Normal
VH-02830,87.7,36.2,8.0,11.71,9.0,31.8,Warning
VH-06913,112.1,48.1,7.4,13.55,10.0,30.2,Warning
VH-06371,112.0,56.9,5.6,11.6,52.0,35.5,Warning
VH-06266,98.4,29.9,10.0,12.45,169.0,33.4,Normal
VH-05911,96.6,47.9,9.9,12.95,106.0,33.6,Normal
VH-00140,98.3,44.6,11.0,12.86,138.0,37.4,Normal
VH-05258,83.1,50.4,6.9,12.44,12.0,29.9, normal 
VH-07661,102.2,34.3,11.8,13.06,64.0,30.1,Normal
VH-00852,102.3,30.5,5.2,12.73,130.0,30.4,Normal
VH-06964,106.7,39.0,7.8,13.32,85.0,32.2,Normal
VH-05661,97.0,48.9,11.2,12.55,10.0,33.0,Normal
VH-06942,90.5,34.8,5.6,13.22,156.0,34.5,Normal
VH-07390,85.1,48.0,12.0,12.37,30.0,35.3,Normal
VH-04296,92.9,34.3,7.2,12.58,8.0,38.8,Normal
VH-04351,85.8,37.8,3.4,12.62,140.0,32.4,Warning
VH-05447,94.7,43.5,9.3,13.16,9.0,26.9,Warning
VH-00415,96.6,37.6,8.6,11.66,37.0,38.5,Warning
VH-05996,96.8,41.9,10.3,12.44,132.0,28.9,Normal
VH-06700,88.7,29.9,5.9,12.61,151.0,32.2,Normal
VH-05182,94.5,34.3,4.8,12.61,143.0,33.0, normal 
VH-02494,103.7,44.7,3.6,13.06,25.0,29.8,Warning
VH-06243,104.8,37.1,5.4,12.98,137.0,33.3,Normal
VH-00433,80.4,38.6,9.1,12.14,84.0,34.5,Normal
VH-07843,89.0,54.4,7.9,12.61,27.0,38.1,Normal
VH-07567,97.1,31.4,4.0,11.97,28.0,34.9,Warning
VH-02555,92.0,32.6,7.4,13.27,30.0,33.2,Normal
VH-06818,96.1,49.1,8.1,13.08,29.0,36.5,Normal
VH-07387,96.6,51.0,9.1,13.03,135.0,37.3,Normal
VH-02901,83.7,47.1,3.6,11.97,148.0,35.3,Warning
VH-03060,104.4,31.4,3.8,13.7,142.0,31.2,Warning
VH-06166,100.4,47.3,11.8,12.23,92.0,31.9,Normal
VH-05705,96.8,701.181653244206,11.3,12.82,182.0,38.5,Normal
VH-01441,97.9,28.5,8.3,12.3,116.0,34.6,Normal
VH-01496,97.6,38.0,5.8,12.57,44.0,28.2,Normal
VH-05925,87.3,44.1,4.9,12.14,98.0,34.1,Normal
VH-02943,92.7,42.8,9.9,13.65,109.0,32.2, normal 
VH-04899,91.4,38.5,2.1,12.72,193.0,32.9,Critical
VH-02423,91.5,,9.2,13.04,99.0,33.4,Normal
VH-00162,112.0,30.8,2.9,11.64,150.0,32.4,Normal
VH-01095,104.8,29.1,7.6,12.4,91.0,30.7,Normal
VH-05301,88.5,34.1,6.9,12.37,162.0,35.1,Normal
VH-01641,99.0,37.1,6.3,11.63,112.0,36.3,Warning
VH-03027,84.1,35.7,10.7,12.6,29.0,35.1,Normal
VH-02408,76.0,48.2,2.6,11.58,40.0,36.0,Warning
VH-05382,89.7,43.1,2.6,12.02,196.0,32.5,Warning
VH-07647,106.0,46.6,5.6,12.82,29.0,34.3,Normal
VH-06182,79.5,42.2,8.2,12.59,24.0,34.4,Normal
VH-06304,102.9,25.8,2.5,12.59,43.0,32.8,Warning
VH-02441,99.6,53.7,4.0,13.26,131.0,33.0,Warning
VH-04511,93.6,44.2,4.4,12.96,172.0,30.1,Normal
VH-02888,91.8,34.6,6.6,11.67,18.0,31.0,Warning
VH-04444,95.8,29.4,7.5,12.77,140.0,37.0,Normal
VH-03788,109.2,44.1,9.5,12.96,176.0,32.4,Warning
VH-04547,104.9,31.0,10.1,13.03,47.0,36.4, normal 
VH-02421,92.8,34.9,7.7,12.4,194.0,30.9,Normal
VH-00901,95.8,27.8,2.1,12.75,155.0,38.5,Critical
VH-06443,94.3,50.7,11.0,12.36,99.0,33.2,Normal
VH-06574,91.3,48.4,6.9,12.77,53.0,35.9,Normal
VH-07013,91.9,22.6,9.3,12.48,22.0,32.9,Warning
VH-00950,81.2,50.4,7.8,12.36,95.0,33.1, normal 
VH-01003,100.1,30.8,2.0,12.52,159.0,36.4,critical
VH-01128,93.0,44.8,7.0,11.96,57.0,33.7,Warning
VH-00210,102.3,40.0,3.1,12.52,173.0,32.6,Warning
VH-03063,96.4,42.4,5.8,13.53,76.0,32.9,Normal
VH-01241,87.0,44.9,12.0,11.64,61.0,34.5,Warning
VH-01906,95.3,39.5,4.0,12.28,28.0,32.0,Normal
VH-06882,101.4,46.6,3.9,11.31,60.0,26.5,Warning
VH-02343,93.5,28.8,4.2,11.09,74.0,34.6,Normal
VH-06206,106.3,42.8,8.5,13.38,13.0,29.8,Normal
VH-07462,103.4,50.4,6.0,12.92,112.0,34.9,Normal
VH-03930,86.5,45.5,6.5,13.42,20.0,33.4, normal 
VH-02190,100.8,36.9,12.0,12.97,64.0,31.1, normal 
VH-04973,73.1,21.5,5.3,12.65,26.0,33.9,Critical
VH-03950,89.2,33.5,4.5,12.68,107.0,36.1,Normal
VH-00244,112.0,41.2,10.1,12.23,81.0,37.7,Warning
VH-00730,98.6,45.3,11.9,13.01,106.0,31.4,Normal
VH-00718,92.2,51.2,9.3,13.5,54.0,33.6,Normal
VH-00100,92.0,50.0,8.7,12.65,74.0,29.2,Normal
VH-02699,88.1,54.7,2.6,13.37,29.0,36.4,Warning
VH-05878,105.2,45.0,4.2,12.51,170.0,32.5,Normal
VH-01070,93.4,46.6,4.3,12.69,89.0,26.1,Warning
VH-04078,91.8,32.9,11.7,12.67,118.0,,Normal
VH-04055,98.0,40.5,10.5,11.89,145.0,32.3,Warning
VH-07195,105.0,40.1,4.4,13.27,35.0,39.7,Normal
VH-05138,90.3,41.0,4.5,12.08,126.0,33.3,Normal
VH-03641,108.3,55.5,9.2,12.63,45.0,32.3,Warning
VH-00705,87.2,36.2,10.6,11.7,90.0,33.8,Warning
VH-06974,106.6,29.1,6.5,13.01,135.0,32.6,Normal
VH-06778,85.1,44.1,7.8,12.54,145.0,32.2,Normal
VH-07170,93.9,27.1,3.0,12.43,31.0,32.4,Warning
VH-00522,105.7,39.9,6.3,12.01,35.0,33.2,Normal
VH-06829,84.0,29.8,3.7,12.72,126.0,37.3,Warning
VH-06242,91.1,38.4,4.3,13.43,129.0,30.6,Normal
VH-02650,86.5,21.4,6.5,13.03,151.0,32.4,Warning
VH-06062,96.2,50.4,10.6,12.04,124.0,35.2,Normal
VH-06948,106.1,35.6,2.5,12.86,10.0,35.6,Warning
VH-07327,91.4,48.4,7.3,11.46,115.0,34.3,Warning
VH-05610,102.4,,2.3,12.6,77.0,35.3,Critical
VH-00387,99.2,52.5,8.1,12.89,44.0,35.5,Normal
VH-03323,101.2,54.2,10.3,13.33,37.0,32.8,Normal
VH-01193,101.0,40.1,10.6,12.91,58.0,36.5,Normal
VH-00232,97.5,42.0,9.0,,12.0,31.4,Normal
VH-06944,96.1,31.4,2.6,12.78,124.0,35.7,Warning
VH-02593,100.7,44.6,2.7,12.36,181.0,29.1,Warning
VH-06593,104.7,29.1,2.6,12.7,156.0,32.7,Warning
VH-00351,101.8,37.3,2.8,12.4,52.0,28.7,Warning
VH-00596,90.8,40.2,9.2,12.66,102.0,,Normal
VH-04915,95.8,21.1,11.6,11.94,41.0,35.9,Warning
VH-05267,79.0,44.4,6.6,13.3,32.0,37.2,Normal
VH-06458,92.0,29.1,6.7,,49.0,37.4,Normal
VH-00885,97.3,54.4,5.4,12.37,58.0,37.6,Normal
VH-06145,91.4,37.3,9.7,13.58,167.0,40.2,Warning
VH-03667,86.2,37.6,10.2,13.31,124.0,31.1,Normal
VH-07789,92.2,44.2,4.8,12.1,156.0,32.5,Normal
VH-06136,86.5,32.5,4.0,12.89,66.0,35.4,Normal
VH-04380,110.6,38.4,11.1,12.21,179.0,,Warning
VH-05153,105.8,40.2,11.5,13.12,59.0,35.4,Normal
VH-07867,88.7,,9.4,12.36,61.0,33.9,Normal
VH-07322,106.7,37.1,2.7,12.66,54.0,31.6,Warning
VH-02397,93.5,43.0,6.9,13.9,123.0,31.9,Normal
VH-06759,107.4,42.4,6.1,12.62,19.0,35.3,Normal
VH-03763,99.7,32.1,3.2,12.09,182.0,36.4,Warning
VH-07301,90.2,45.4,9.0,13.7,71.0,28.5,Normal
VH-00985,100.1,,9.4,11.79,78.0,28.1,Warning
VH-01213,89.3,49.6,10.4,13.13,75.0,34.3,Normal
VH-03487,97.1,42.8,3.2,13.02,41.0,34.4,Warning
VH-03310,91.0,43.6,2.6,12.83,180.0,38.3,Warning
VH-02158,100.4,39.1,5.4,12.19,74.0,33.3,Normal
VH-01407,100.2,27.5,7.8,12.69,80.0,29.3,Normal
VH-07646,77.4,45.0,4.4,12.84,56.0,33.1,Normal
VH-05231,82.3,43.1,11.2,12.16,53.0,29.2,Normal
VH-06548,72.3,41.2,2.3,13.06,53.0,33.9,Critical
VH-01549,98.2,36.3,2.1,13.02,13.0,32.7,Critical
VH-06159,102.9,40.2,7.2,12.8,120.0,33.8,Normal
VH-01730,94.3,33.3,4.2,12.6,132.0,32.0,Normal
VH-00893,95.3,45.7,7.6,12.46,122.0,32.8,Normal
VH-01874,86.5,46.6,6.4,,164.0,30.9, normal 
VH-07393,98.1,45.0,7.2,12.38,58.0,32.6,Normal
VH-00835,87.8,26.8,11.4,11.88,120.0,35.3,Warning
VH-06338,105.0,41.6,10.5,12.58,6.0,32.2,Normal
VH-01901,103.6,42.0,11.8,13.97,60.0,31.5,Normal
VH-03435,99.2,50.0,5.7,12.09,184.0,31.7,Normal
VH-05533,96.3,61.0,5.6,12.28,171.0,33.8,Normal
VH-01614,89.6,50.3,6.2,13.0,100.0,35.0,Normal
VH-04601,95.4,28.5,5.7,13.1,190.0,39.1,Normal
VH-06874,85.3,42.7,7.4,12.81,168.0,31.1,Normal
VH-00407,101.6,,6.5,13.74,131.0,39.8,Normal
VH-04702,80.5,39.3,2.9,13.14,27.0,33.3,Warning
VH-01343,90.8,34.7,3.2,12.39,152.0,35.1,Warning
VH-06425,106.9,23.0,9.3,12.15,146.0,33.8,Warning
VH-06868,83.5,35.2,8.8,12.89,166.0,28.7,Normal
VH-02071,83.7,41.1,9.8,12.31,113.0,33.0,Normal
VH-02306,110.5,35.8,6.2,,195.0,31.9,Warning
VH-07488,93.3,51.9,3.2,12.04,73.0,34.5,Warning
VH-02470,91.3,42.4,10.6,12.85,175.0,,Normal
VH-01772,84.6,,2.2,12.62,160.0,32.0,Critical
VH-04769,107.8,24.7,6.5,13.15,120.0,29.7,Warning
VH-06669,87.7,41.3,10.6,13.03,27.0,28.4,Normal
VH-05584,90.6,24.8,2.8,,139.0,32.6,Warning
VH-04392,86.4,33.8,7.1,12.65,22.0,37.0,Normal
VH-01915,70.6,32.2,6.2,12.09,140.0,34.1,Warning
VH-00738,82.0,35.5,3.6,12.24,157.0,30.9,Warning
VH-00540,81.5,46.8,7.3,13.13,124.0,36.0,Normal
VH-05023,86.7,58.3,8.6,12.25,35.0,31.9,Normal
VH-07920,94.8,45.3,7.2,12.31,189.0,31.1,Normal
VH-07269,98.8,36.6,8.8,13.16,143.0,26.1,Warning
VH-02646,108.1,42.6,9.7,13.28,170.0,30.6,Warning
VH-02537,82.0,38.7,10.7,12.89,120.0,35.9, normal 
VH-04369,100.9,46.0,4.5,13.01,142.0,31.7,Normal
VH-02523,80.6,31.5,5.6,12.99,123.0,34.4,Normal
VH-01673,98.6,63.2,3.8,13.29,109.0,,Warning
VH-04336,96.2,42.0,6.8,13.13,195.0,30.2,Normal
VH-04623,101.8,26.5,6.4,,180.0,36.0,Normal
VH-02941,105.1,58.2,9.8,12.15,122.0,37.3,Normal
VH-06228,89.7,48.7,2.1,12.61,192.0,34.8,Critical
VH-03168,87.7,40.4,9.8,11.91,141.0,29.8,Warning
VH-06117,86.0,39.2,6.3,13.55,166.0,30.1,Normal
VH-00610,86.7,57.5,11.6,12.09,27.0,35.3,Normal
VH-07842,93.5,46.2,6.4,13.09,41.0,36.9,Normal
VH-06035,89.9,822.1740233030026,8.0,13.14,179.0,34.2,Normal
VH-04352,95.7,29.8,12.0,12.29,35.0,37.3,Normal
VH-05550,100.7,36.3,7.3,12.27,78.0,33.0,Normal
VH-02292,104.6,48.0,4.3,13.09,165.0,27.8,Warning
VH-01900,90.6,29.4,5.4,12.55,59.0,39.2,Normal
VH-05199,93.2,32.3,2.3,12.88,166.0,29.3,Critical
VH-07738,94.8,34.1,2.2,12.92,141.0,35.7,Critical
VH-05526,98.6,39.4,11.6,12.71,35.0,32.6,Normal
VH-07741,99.5,,10.3,13.04,84.0,34.1,Normal
VH-00295,96.4,33.0,7.1,11.69,35.0,29.9,Warning
VH-04683,90.0,40.2,5.5,11.8,52.0,,Warning
VH-00563,88.9,41.7,3.6,12.71,131.0,35.7,Warning
VH-04716,101.9,32.8,5.0,12.31,134.0,,Normal
VH-04368,93.9,31.3,11.0,12.17,118.0,30.7,Normal
VH-06695,86.3,33.6,9.6,12.33,128.0,32.8,Normal
VH-05874,84.8,,4.6,12.77,183.0,35.0,Normal
VH-01384,81.0,47.2,5.0,11.56,14.0,36.8,Warning
VH-02346,93.6,32.2,2.6,12.94,146.0,30.9,Warning
VH-05914,99.2,32.5,11.7,11.99,198.0,29.9,Warning
VH-02034,95.9,34.0,11.4,12.24,159.0,26.5,Warning
VH-07200,101.8,31.5,7.4,11.7,191.0,31.7,Warning
VH-06914,82.0,42.7,7.8,13.43,196.0,37.1,Normal
VH-04568,100.1,42.0,4.9,13.59,122.0,27.8,Warning
VH-02930,89.0,43.2,5.7,10.87,30.0,29.9,Critical
VH-00727,101.1,34.7,5.5,12.52,97.0,33.5,Normal
VH-05441,84.4,43.3,6.4,12.58,184.0,35.5,Normal
VH-06404,93.6,38.6,9.3,13.31,187.0,35.6,Normal
VH-04883,92.8,40.4,2.9,12.5,51.0,31.6,Warning
VH-06785,86.2,47.8,11.3,12.9,56.0,28.8,Normal
VH-02937,106.4,35.9,9.3,13.2,81.0,31.2,Normal
VH-03611,88.9,37.6,8.0,12.33,177.0,27.7,Warning
VH-01197,87.6,53.1,9.2,11.97,188.0,33.1,Warning
VH-03541,97.8,48.1,9.2,12.31,86.0,35.8,Normal
VH-02333,94.7,46.7,9.0,12.36,116.0,32.5,Normal
VH-04063,90.0,39.6,11.1,11.83,46.0,34.0,Warning
VH-00095,83.4,34.9,7.0,14.05,17.0,31.7,Normal
VH-02123,95.5,46.4,9.1,12.37,87.0,29.5,Normal
VH-04586,99.0,35.1,9.9,12.79,24.0,28.5,Normal
VH-05534,97.9,35.9,4.2,12.65,171.0,39.6,Normal
VH-06791,92.0,43.8,9.0,13.05,38.0,34.1,Normal
VH-00134,83.2,45.2,2.9,12.7,145.0,33.4,Warning
VH-05926,94.2,42.4,8.2,12.13,46.0,30.8,Normal
VH-04834,82.1,34.5,4.7,12.05,156.0,31.9,Normal
VH-04546,73.4,33.4,4.6,12.89,25.0,,Warning
VH-01390,89.6,37.5,11.7,11.37,195.0,32.3,Warning
VH-07575,93.5,55.0,8.4,12.84,98.0,36.0,Normal
VH-05670,90.6,51.1,3.8,12.65,128.0,37.0,WARNING
VH-03750,92.7,39.9,10.2,13.25,133.0,36.3,Normal
VH-07389,94.3,45.5,4.1,11.73,14.0,33.2,Warning
VH-04112,89.9,43.6,9.5,12.36,173.0,29.7,Normal
VH-01544,105.9,35.5,8.5,12.98,91.0,32.6, normal 
VH-04275,91.9,41.7,5.1,11.9,30.0,39.7,Warning
VH-00101,105.4,38.7,3.1,12.96,132.0,32.6,Warning
VH-03190,83.6,15.8,4.7,13.67,136.0,31.2,Critical
VH-07796,90.4,32.6,3.3,12.0,21.0,35.1,Warning
VH-04664,115.2,37.7,4.8,12.14,68.0,32.6,Warning
VH-05260,99.2,30.9,10.5,12.58,22.0,29.9,Normal
VH-01202,98.4,37.5,5.4,12.84,27.0,33.4,Normal
VH-05726,81.3,54.9,7.6,12.93,195.0,36.2,Normal
VH-00903,107.7,44.5,6.3,12.73,86.0,34.2,Normal
VH-06920,106.2,53.6,7.8,12.07,44.0,34.5,Normal
VH-07265,98.4,38.8,6.7,12.79,99.0,32.4,Normal
VH-01083,95.5,55.0,9.4,12.04,129.0,30.3,Normal
VH-03856,85.8,47.9,6.2,12.68,5.0,29.4,Normal
VH-04693,89.1,29.8,7.4,12.15,134.0,28.2,Normal
VH-01642,75.7,35.5,2.0,13.03,164.0,31.4,Critical
VH-03083,90.8,30.2,9.0,11.76,26.0,36.6,Warning
VH-04830,84.5,25.0,11.6,12.47,37.0,33.0,Normal
VH-03355,73.4,45.2,4.8,,142.0,,Warning
VH-07694,101.5,41.0,9.7,13.32,39.0,28.4,Normal
VH-01617,80.8,41.8,9.6,11.28,165.0,32.2,Critical
VH-06630,97.7,54.0,8.4,12.78,121.0,28.1,Normal
VH-03866,98.3,48.3,11.3,12.32,124.0,30.8,Normal
VH-06905,101.1,36.3,6.7,13.2,114.0,33.2,Normal
VH-01057,98.3,34.1,5.3,11.66,177.0,34.8,Warning
VH-00695,88.7,45.1,7.2,12.33,112.0,32.0,Normal
VH-03258,88.0,38.2,4.8,12.73,72.0,34.1,Normal
VH-00246,86.2,41.8,6.2,12.46,7.0,30.5, normal 
VH-03095,85.9,41.8,3.4,12.69,126.0,33.3,Warning
VH-05529,94.7,35.9,10.1,12.82,168.0,38.7,Normal
VH-01188,99.9,37.9,11.8,12.14,149.0,33.8,Normal
VH-03634,93.6,49.3,3.6,12.86,73.0,31.1,Warning
VH-06499,112.8,59.3,7.1,12.68,187.0,28.9,WARNING
VH-02661,89.4,29.7,2.0,13.04,146.0,34.7,Critical
VH-04848,89.1,42.6,7.9,,125.0,34.1,Normal
VH-05961,83.8,44.1,10.7,12.42,194.0,31.7,Normal
VH-02271,86.3,,5.6,13.11,22.0,30.8,Normal
VH-07976,108.8,36.1,8.3,12.91,77.0,38.3,Warning
VH-02000,91.4,41.4,11.2,12.49,121.0,28.5,Normal
VH-00276,88.9,32.1,7.3,11.95,150.0,34.5,Warning
VH-05198,90.2,44.7,6.0,12.74,172.0,30.0,Normal
VH-01543,94.2,34.9,3.1,12.96,138.0,33.3,Warning
VH-01740,91.9,54.5,5.6,12.44,173.0,34.3,Normal
VH-01421,93.3,37.4,10.3,13.28,103.0,29.1,Normal
VH-02467,105.6,42.3,9.1,12.29,117.0,27.4,Warning
VH-01795,92.4,38.4,7.4,12.85,20.0,34.3,Normal
VH-03675,110.8,39.6,6.5,12.77,83.0,35.4,Warning
VH-02296,115.6,36.9,2.5,,154.0,32.8,Critical
VH-00934,97.5,52.9,7.1,13.17,190.0,27.9,Warning
VH-06709,107.0,37.4,9.6,12.59,115.0,31.6,Normal
VH-05471,91.2,36.5,8.9,12.46,44.0,31.2,Normal
VH-05072,110.3,,4.0,12.59,159.0,35.0,Warning
VH-06628,90.7,24.8,6.7,12.89,123.0,36.8,Warning
VH-02495,112.7,36.0,8.9,12.13,100.0,33.0,Warning
VH-06008,93.5,43.5,7.3,12.31,157.0,26.3,Warning
VH-06124,92.7,43.6,6.7,12.51,190.0,34.0,Normal
VH-06802,94.0,46.4,2.7,13.07,32.0,38.9,Warning
VH-03123,99.4,34.2,2.1,13.25,103.0,28.0,Critical
VH-03767,98.6,45.1,5.7,12.21,173.0,29.6,Normal
VH-06601,92.6,45.3,9.9,12.73,128.0,28.4,Normal
VH-06413,92.5,41.0,11.3,12.63,153.0,33.7,Normal
VH-04116,104.0,26.3,5.3,13.14,44.0,34.0,Normal
VH-04725,104.0,55.0,4.4,12.6,48.0,33.0,Normal
VH-01814,96.4,44.5,11.2,13.13,128.0,29.3,Normal
VH-04613,89.7,39.3,4.9,13.01,142.0,34.9,Normal
VH-07819,106.1,25.5,4.9,11.78,122.0,27.9,WARNING
VH-01172,94.1,41.6,5.7,12.64,77.0,37.2,Normal
VH-04426,96.4,31.5,10.8,12.97,98.0,,Normal
VH-00799,95.3,37.2,4.6,12.85,92.0,31.0,Normal
VH-00056,92.8,34.9,4.8,12.49,20.0,36.6,Normal
VH-03227,94.5,,8.4,12.46,178.0,31.1,Normal
VH-03320,82.1,25.6,4.4,13.02,83.0,29.7,Normal
