engine_temp_C,oil_pressure_psi,brake_pad_mm,battery_voltage_V,mileage_k,tire_pressure_psi,severity
103.4,50.4,6.0,12.92,112.0,34.9,Normal
86.5,45.5,6.5,13.42,20.0,33.4,Normal
100.8,36.9,12.0,12.97,64.0,31.1,Normal
73.1,21.5,5.3,12.65,26.0,33.9,Critical
89.2,33.5,4.5,12.68,107.0,36.1,Normal
112.0,41.2,10.1,12.23,81.0,37.7,Warning
98.6,45.3,11.9,13.01,106.0,31.4,Normal
92.2,51.2,9.3,13.5,54.0,33.6,Normal
92.0,50.0,8.7,12.65,74.0,29.2,Normal
88.1,54.7,2.6,13.37,29.0,36.4,Warning
105.2,45.0,4.2,12.51,170.0,32.5,Normal
93.4,46.6,4.3,12.69,89.0,26.1,Warning
91.8,32.9,11.7,12.67,118.0,32.9,Normal
98.0,40.5,10.5,11.89,145.0,32.3,Warning
105.0,40.1,4.4,13.27,35.0,39.7,Normal
90.3,41.0,4.5,12.08,126.0,33.3,Normal
108.3,55.5,9.2,12.63,45.0,32.3,Warning
87.2,36.2,10.6,11.7,90.0,33.8,Warning
106.6,29.1,6.5,13.01,135.0,32.6,Normal
85.1,44.1,7.8,12.54,145.0,32.2,Normal
93.9,27.1,3.0,12.43,31.0,32.4,Warning
105.7,39.9,6.3,12.01,35.0,33.2,Normal
84.0,29.8,3.7,12.72,126.0,37.3,Warning
91.1,38.4,4.3,13.43,129.0,30.6,Normal
86.5,21.4,6.5,13.03,151.0,32.4,Warning
96.2,50.4,10.6,12.04,124.0,35.2,Normal
106.1,35.6,2.5,12.86,10.0,35.6,Warning
91.4,48.4,7.3,11.46,115.0,34.3,Warning
102.4,39.8,2.3,12.6,77.0,35.3,Critical
99.2,52.5,8.1,12.89,44.0,35.5,Normal
101.2,54.2,10.3,13.33,37.0,32.8,Normal
101.0,40.1,10.6,12.91,58.0,36.5,Normal
97.5,42.0,9.0,12.61,12.0,31.4,Normal
96.1,31.4,2.6,12.78,124.0,35.7,Warning
100.7,44.6,2.7,12.36,181.0,29.1,Warning
104.7,29.1,2.6,12.7,156.0,32.7,Warning
101.8,37.3,2.8,12.4,52.0,28.7,Warning
90.8,40.2,9.2,12.66,102.0,32.9,Normal
95.8,21.1,11.6,11.94,41.0,35.9,Warning
79.0,44.4,6.6,13.3,32.0,37.2,Normal
92.0,29.1,6.7,12.61,49.0,37.4,Normal
97.3,54.4,5.4,12.37,58.0,37.6,Normal
91.4,37.3,9.7,13.58,167.0,40.2,Warning
86.2,37.6,10.2,13.31,124.0,31.1,Normal
92.2,44.2,4.8,12.1,156.0,32.5,Normal
86.5,32.5,4.0,12.89,66.0,35.4,Normal
110.6,38.4,11.1,12.21,179.0,32.9,Warning
105.8,40.2,11.5,13.12,59.0,35.4,Normal
88.7,39.8,9.4,12.36,61.0,33.9,Normal
106.7,37.1,2.7,12.66,54.0,31.6,Warning
93.5,43.0,6.9,13.9,123.0,31.9,Normal
107.4,42.4,6.1,12.62,19.0,35.3,Normal
99.7,32.1,3.2,12.09,182.0,36.4,Warning
90.2,45.4,9.0,13.7,71.0,28.5,Normal
100.1,39.8,9.4,11.79,78.0,28.1,Warning
89.3,49.6,10.4,13.13,75.0,34.3,Normal
97.1,42.8,3.2,13.02,41.0,34.4,Warning
91.0,43.6,2.6,12.83,180.0,38.3,Warning
100.4,39.1,5.4,12.19,74.0,33.3,Normal
100.2,27.5,7.8,12.69,80.0,29.3,Normal
77.4,45.0,4.4,12.84,56.0,33.1,Normal
82.3,43.1,11.2,12.16,53.0,29.2,Normal
72.3,41.2,2.3,13.06,53.0,33.9,Critical
98.2,36.3,2.1,13.02,13.0,32.7,Critical
102.9,40.2,7.2,12.8,120.0,33.8,Normal
94.3,33.3,4.2,12.6,132.0,32.0,Normal
95.3,45.7,7.6,12.46,122.0,32.8,Normal
86.5,46.6,6.4,12.61,164.0,30.9,Normal
98.1,45.0,7.2,12.38,58.0,32.6,Normal
87.8,26.8,11.4,11.88,120.0,35.3,Warning
105.0,41.6,10.5,12.58,6.0,32.2,Normal
103.6,42.0,11.8,13.97,60.0,31.5,Normal
99.2,50.0,5.7,12.09,184.0,31.7,Normal
96.3,61.0,5.6,12.28,171.0,33.8,Normal
89.6,50.3,6.2,13.0,100.0,35.0,Normal
95.4,28.5,5.7,13.1,190.0,39.1,Normal
85.3,42.7,7.4,12.81,168.0,31.1,Normal
101.6,39.8,6.5,13.74,131.0,39.8,Normal
80.5,39.3,2.9,13.14,27.0,33.3,Warning
90.8,34.7,3.2,12.39,152.0,35.1,Warning
106.9,23.0,9.3,12.15,146.0,33.8,Warning
83.5,35.2,8.8,12.89,166.0,28.7,Normal
83.7,41.1,9.8,12.31,113.0,33.0,Normal
110.5,35.8,6.2,12.61,195.0,31.9,Warning
93.3,51.9,3.2,12.04,73.0,34.5,Warning
91.3,42.4,10.6,12.85,175.0,32.9,Normal
84.6,39.8,2.2,12.62,160.0,32.0,Critical
107.8,24.7,6.5,13.15,120.0,29.7,Warning
87.7,41.3,10.6,13.03,27.0,28.4,Normal
90.6,24.8,2.8,12.61,139.0,32.6,Warning
86.4,33.8,7.1,12.65,22.0,37.0,Normal
70.6,32.2,6.2,12.09,140.0,34.1,Warning
82.0,35.5,3.6,12.24,157.0,30.9,Warning
81.5,46.8,7.3,13.13,124.0,36.0,Normal
86.7,58.3,8.6,12.25,35.0,31.9,Normal
94.8,45.3,7.2,12.31,189.0,31.1,Normal
98.8,36.6,8.8,13.16,143.0,26.1,Warning
108.1,42.6,9.7,13.28,170.0,30.6,Warning
82.0,38.7,10.7,12.89,120.0,35.9,Normal
100.9,46.0,4.5,13.01,142.0,31.7,Normal
80.6,31.5,5.6,12.99,123.0,34.4,Normal
98.6,63.2,3.8,13.29,109.0,32.9,Warning
96.2,42.0,6.8,13.13,195.0,30.2,Normal
101.8,26.5,6.4,12.61,180.0,36.0,Normal
105.1,58.2,9.8,12.15,122.0,37.3,Normal
89.7,48.7,2.1,12.61,192.0,34.8,Critical
87.7,40.4,9.8,11.91,141.0,29.8,Warning
86.0,39.2,6.3,13.55,166.0,30.1,Normal
86.7,57.5,11.6,12.09,27.0,35.3,Normal
93.5,46.2,6.4,13.09,41.0,36.9,Normal
89.9,39.8,8.0,13.14,179.0,34.2,Normal
95.7,29.8,12.0,12.29,35.0,37.3,Normal
100.7,36.3,7.3,12.27,78.0,33.0,Normal
104.6,48.0,4.3,13.09,165.0,27.8,Warning
90.6,29.4,5.4,12.55,59.0,39.2,Normal
93.2,32.3,2.3,12.88,166.0,29.3,Critical
94.8,34.1,2.2,12.92,141.0,35.7,Critical
98.6,39.4,11.6,12.71,35.0,32.6,Normal
99.5,39.8,10.3,13.04,84.0,34.1,Normal
96.4,33.0,7.1,11.69,35.0,29.9,Warning
90.0,40.2,5.5,11.8,52.0,32.9,Warning
88.9,41.7,3.6,12.71,131.0,35.7,Warning
101.9,32.8,5.0,12.31,134.0,32.9,Normal
93.9,31.3,11.0,12.17,118.0,30.7,Normal
86.3,33.6,9.6,12.33,128.0,32.8,Normal
84.8,39.8,4.6,12.77,183.0,35.0,Normal
81.0,47.2,5.0,11.56,14.0,36.8,Warning
93.6,32.2,2.6,12.94,146.0,30.9,Warning
99.2,32.5,11.7,11.99,198.0,29.9,Warning
95.9,34.0,11.4,12.24,159.0,26.5,Warning
101.8,31.5,7.4,11.7,191.0,31.7,Warning
82.0,42.7,7.8,13.43,196.0,37.1,Normal
100.1,42.0,4.9,13.59,122.0,27.8,Warning
89.0,43.2,5.7,10.87,30.0,29.9,Critical
101.1,34.7,5.5,12.52,97.0,33.5,Normal
84.4,43.3,6.4,12.58,184.0,35.5,Normal
93.6,38.6,9.3,13.31,187.0,35.6,Normal
92.8,40.4,2.9,12.5,51.0,31.6,Warning
86.2,47.8,11.3,12.9,56.0,28.8,Normal
106.4,35.9,9.3,13.2,81.0,31.2,Normal
88.9,37.6,8.0,12.33,177.0,27.7,Warning
87.6,53.1,9.2,11.97,188.0,33.1,Warning
97.8,48.1,9.2,12.31,86.0,35.8,Normal
94.7,46.7,9.0,12.36,116.0,32.5,Normal
90.0,39.6,11.1,11.83,46.0,34.0,Warning
83.4,34.9,7.0,14.05,17.0,31.7,Normal
95.5,46.4,9.1,12.37,87.0,29.5,Normal
99.0,35.1,9.9,12.79,24.0,28.5,Normal
97.9,35.9,4.2,12.65,171.0,39.6,Normal
92.0,43.8,9.0,13.05,38.0,34.1,Normal
83.2,45.2,2.9,12.7,145.0,33.4,Warning
94.2,42.4,8.2,12.13,46.0,30.8,Normal
82.1,34.5,4.7,12.05,156.0,31.9,Normal
73.4,33.4,4.6,12.89,25.0,32.9,Warning
89.6,37.5,11.7,11.37,195.0,32.3,Warning
93.5,55.0,8.4,12.84,98.0,36.0,Normal
90.6,51.1,3.8,12.65,128.0,37.0,Warning
92.7,39.9,10.2,13.25,133.0,36.3,Normal
94.3,45.5,4.1,11.73,14.0,33.2,Warning
89.9,43.6,9.5,12.36,173.0,29.7,Normal
105.9,35.5,8.5,12.98,91.0,32.6,Normal
91.9,41.7,5.1,11.9,30.0,39.7,Warning
105.4,38.7,3.1,12.96,132.0,32.6,Warning
83.6,15.8,4.7,13.67,136.0,31.2,Critical
90.4,32.6,3.3,12.0,21.0,35.1,Warning
115.2,37.7,4.8,12.14,68.0,32.6,Warning
99.2,30.9,10.5,12.58,22.0,29.9,Normal
98.4,37.5,5.4,12.84,27.0,33.4,Normal
81.3,54.9,7.6,12.93,195.0,36.2,Normal
107.7,44.5,6.3,12.73,86.0,34.2,Normal
106.2,53.6,7.8,12.07,44.0,34.5,Normal
98.4,38.8,6.7,12.79,99.0,32.4,Normal
95.5,55.0,9.4,12.04,129.0,30.3,Normal
85.8,47.9,6.2,12.68,5.0,29.4,Normal
89.1,29.8,7.4,12.15,134.0,28.2,Normal
75.7,35.5,2.0,13.03,164.0,31.4,Critical
90.8,30.2,9.0,11.76,26.0,36.6,Warning
84.5,25.0,11.6,12.47,37.0,33.0,Normal
73.4,45.2,4.8,12.61,142.0,32.9,Warning
101.5,41.0,9.7,13.32,39.0,28.4,Normal
80.8,41.8,9.6,11.28,165.0,32.2,Critical
97.7,54.0,8.4,12.78,121.0,28.1,Normal
98.3,48.3,11.3,12.32,124.0,30.8,Normal
101.1,36.3,6.7,13.2,114.0,33.2,Normal
98.3,34.1,5.3,11.66,177.0,34.8,Warning
88.7,45.1,7.2,12.33,112.0,32.0,Normal
88.0,38.2,4.8,12.73,72.0,34.1,Normal
86.2,41.8,6.2,12.46,7.0,30.5,Normal
85.9,41.8,3.4,12.69,126.0,33.3,Warning
94.7,35.9,10.1,12.82,168.0,38.7,Normal
99.9,37.9,11.8,12.14,149.0,33.8,Normal
93.6,49.3,3.6,12.86,73.0,31.1,Warning
112.8,59.3,7.1,12.68,187.0,28.9,Warning
89.4,29.7,2.0,13.04,146.0,34.7,Critical
89.1,42.6,7.9,12.61,125.0,34.1,Normal
83.8,44.1,10.7,12.42,194.0,31.7,Normal
86.3,39.8,5.6,13.11,22.0,30.8,Normal
108.8,36.1,8.3,12.91,77.0,38.3,Warning
91.4,41.4,11.2,12.49,121.0,28.5,Normal
88.9,32.1,7.3,11.95,150.0,34.5,Warning
90.2,44.7,6.0,12.74,172.0,30.0,Normal
94.2,34.9,3.1,12.96,138.0,33.3,Warning
91.9,54.5,5.6,12.44,173.0,34.3,Normal
93.3,37.4,10.3,13.28,103.0,29.1,Normal
105.6,42.3,9.1,12.29,117.0,27.4,Warning
92.4,38.4,7.4,12.85,20.0,34.3,Normal
110.8,39.6,6.5,12.77,83.0,35.4,Warning
115.6,36.9,2.5,12.61,154.0,32.8,Critical
97.5,52.9,7.1,13.17,190.0,27.9,Warning
107.0,37.4,9.6,12.59,115.0,31.6,Normal
91.2,36.5,8.9,12.46,44.0,31.2,Normal
110.3,39.8,4.0,12.59,159.0,35.0,Warning
90.7,24.8,6.7,12.89,123.0,36.8,Warning
112.7,36.0,8.9,12.13,100.0,33.0,Warning
93.5,43.5,7.3,12.31,157.0,26.3,Warning
92.7,43.6,6.7,12.51,190.0,34.0,Normal
94.0,46.4,2.7,13.07,32.0,38.9,Warning
99.4,34.2,2.1,13.25,103.0,28.0,Critical
98.6,45.1,5.7,12.21,173.0,29.6,Normal
92.6,45.3,9.9,12.73,128.0,28.4,Normal
92.5,41.0,11.3,12.63,153.0,33.7,Normal
104.0,26.3,5.3,13.14,44.0,34.0,Normal
104.0,55.0,4.4,12.6,48.0,33.0,Normal
96.4,44.5,11.2,13.13,128.0,29.3,Normal
89.7,39.3,4.9,13.01,142.0,34.9,Normal
106.1,25.5,4.9,11.78,122.0,27.9,Warning
94.1,41.6,5.7,12.64,77.0,37.2,Normal
96.4,31.5,10.8,12.97,98.0,32.9,Normal
95.3,37.2,4.6,12.85,92.0,31.0,Normal
92.8,34.9,4.8,12.49,20.0,36.6,Normal
94.5,39.8,8.4,12.46,178.0,31.1,Normal
82.1,25.6,4.4,13.02,83.0,29.7,Normal
94.0,62.9,10.1,12.61,79.0,33.7,Normal
101.1,35.3,5.8,13.01,182.0,32.7,Normal
97.3,29.5,7.6,12.88,117.0,31.1,Normal
88.8,41.1,7.7,11.59,186.0,31.5,Warning
103.4,51.4,9.5,12.95,34.0,33.6,Normal
82.6,45.4,6.2,12.47,184.0,29.1,Normal
97.2,39.8,6.0,13.17,182.0,32.9,Normal
91.9,30.3,10.8,11.7,189.0,31.7,Warning
99.8,34.9,5.0,13.26,37.0,28.6,Normal
93.2,37.0,7.2,12.82,94.0,31.5,Normal
101.0,39.8,6.1,11.79,156.0,37.0,Warning
108.9,49.3,11.5,12.14,60.0,38.4,Warning
98.2,26.6,4.6,12.12,78.0,34.4,Normal
98.8,47.7,4.5,12.87,23.0,33.4,Normal
91.2,44.4,6.2,12.93,182.0,32.0,Normal
96.4,46.3,6.9,11.77,43.0,30.4,Warning
85.5,35.1,7.0,13.2,157.0,42.3,Normal
92.8,27.0,5.8,12.61,161.0,41.9,Warning
98.3,36.0,8.7,12.98,106.0,30.8,Normal
94.2,42.9,10.7,12.76,110.0,31.5,Normal
96.9,37.9,2.2,12.62,158.0,33.6,Critical
94.2,41.1,10.5,12.56,36.0,34.8,Normal
99.5,39.6,3.5,12.7,179.0,33.7,Warning
88.7,48.5,6.8,13.02,148.0,30.9,Normal
96.8,36.6,10.6,12.61,188.0,31.7,Normal
89.2,42.6,11.2,13.18,158.0,33.8,Normal
104.9,23.4,4.8,12.65,67.0,32.9,Warning
74.5,33.5,7.7,11.93,70.0,23.3,Warning
81.2,27.7,6.4,12.68,51.0,30.1,Normal
98.8,55.4,4.6,11.81,104.0,30.0,Warning
106.0,33.7,4.6,12.4,19.0,29.9,Normal
89.6,33.8,11.1,12.58,25.0,29.8,Normal
102.0,16.8,5.8,12.24,169.0,34.7,Critical
91.0,47.3,4.4,12.59,72.0,31.4,Normal
101.4,30.5,6.1,11.72,79.0,36.1,Warning
99.9,38.8,7.9,12.58,73.0,34.2,Normal
89.4,28.0,8.0,12.71,77.0,29.5,Normal
87.5,39.5,11.1,11.83,92.0,32.7,Warning
86.2,47.7,8.4,12.6,102.0,31.1,Normal
100.9,48.7,7.1,12.05,165.0,32.2,Normal
89.2,43.1,7.7,11.3,130.0,37.8,Warning
89.5,40.8,4.2,13.14,191.0,34.0,Normal
89.5,33.2,11.9,12.67,151.0,32.9,Normal
98.1,37.5,6.9,13.28,57.0,33.6,Normal
103.4,45.9,12.0,12.61,54.0,30.7,Normal
97.5,35.7,8.3,13.7,108.0,30.6,Normal
93.5,33.5,5.2,12.02,49.0,35.4,Normal
93.6,48.3,2.6,12.51,187.0,30.5,Warning
103.1,33.6,11.9,13.47,100.0,35.9,Normal
87.8,38.1,4.4,12.21,117.0,31.7,Warning
88.8,55.6,2.4,12.92,170.0,29.7,Critical
84.4,43.0,2.7,13.09,176.0,34.9,Warning
90.3,32.6,3.2,12.2,13.0,37.6,Warning
85.7,38.3,5.1,12.69,130.0,30.7,Normal
79.8,23.6,2.6,13.08,16.0,31.6,Warning
106.9,48.1,4.6,12.73,53.0,38.8,Normal
100.1,39.8,6.8,12.82,84.0,29.8,Normal
98.1,44.9,2.9,12.62,137.0,35.2,Warning
107.7,42.7,9.9,12.61,170.0,31.8,Warning
89.5,25.1,6.8,12.4,143.0,37.6,Normal
89.1,40.3,9.3,13.07,169.0,36.1,Normal
96.3,40.1,7.5,12.04,157.0,35.4,Normal
96.9,44.2,3.2,12.03,32.0,28.1,Warning
94.5,31.3,11.5,13.01,164.0,31.5,Normal
93.6,41.5,9.4,12.43,124.0,35.4,Normal
104.5,37.1,10.5,11.98,109.0,30.7,Warning
93.8,48.3,9.8,12.98,94.0,38.4,Normal
86.2,30.8,8.8,12.63,143.0,29.9,Normal
96.4,31.7,4.6,12.61,163.0,30.8,Normal
99.4,30.5,5.4,12.61,88.0,33.9,Warning
91.1,31.7,6.0,13.07,74.0,32.4,Normal
79.2,28.0,2.1,13.04,172.0,33.2,Critical
94.9,49.0,10.7,12.52,181.0,34.6,Normal
92.8,50.2,9.7,12.1,123.0,37.2,Normal
84.1,48.0,8.2,12.69,92.0,32.0,Normal
98.9,49.6,8.2,13.34,149.0,39.1,Normal
93.0,50.4,10.3,12.51,130.0,29.8,Normal
94.9,48.6,7.5,13.35,123.0,28.2,Normal
85.2,31.4,9.8,12.51,157.0,32.6,Normal
92.1,35.5,5.9,12.8,112.0,33.6,Normal
94.3,35.7,4.2,12.61,99.0,30.2,Normal
79.9,37.9,8.2,12.21,27.0,37.2,Normal
89.6,40.7,10.0,12.06,92.0,29.0,Normal
96.2,37.4,3.3,12.97,134.0,29.4,Warning
95.1,45.6,8.5,13.09,170.0,28.2,Normal
